,len_01_norm_unicode,len_01_norm_unicode,len_02_dehyphen,len_02_dehyphen,len_03_strip_summary,len_03_strip_summary,len_04_smart_join,len_04_smart_join,len_05_cut_from_od,len_05_cut_from_od,len_06_norm_orden_dia,len_06_norm_orden_dia,len_07_strip_roster_stage,len_07_strip_roster_stage,len_08_strip_procedural,len_08_strip_procedural,len_09_postfix,len_09_postfix,len_10_after_legal_cut,len_10_after_legal_cut,len_11_final,len_11_final,n_legal_blocks,n_legal_blocks,ratio_after_legal,ratio_after_legal,ratio_after_procedural,ratio_after_procedural,ratio_after_summary,ratio_after_summary
run_label,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev
file_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2012-05-16_crr.txt,47939,47939,47939,47939,47244,47244,47235,47235,47235,47235,47124,47124,41793,41793,41793,41793,41574,41574,27561,27561,27561,27561,2,2,0.6629383749458796,0.6629383749458796,1.0,1.0,0.9855024093118336,0.9855024093118336
47_2012-05-17_crr.txt,230464,230464,230464,230464,230464,230464,230405,230405,109518,109518,109518,109518,108294,108294,106412,106412,105224,105224,101169,101169,101169,101169,1,1,0.9614631642971184,0.9614631642971184,0.982621382532735,0.982621382532735,1.0,1.0
47_2012-06-05_crr.txt,348780,348780,348755,348755,348755,348755,348672,348672,348672,348672,348567,348567,336310,336310,335245,335245,329688,329688,293746,293746,293746,293746,7,7,0.8909817767101017,0.8909817767101017,0.9968332788201362,0.9968332788201362,0.999928321578072,0.999928321578072
47_2012-06-06_crr.txt,291985,291985,291985,291985,288613,288613,288642,288642,149193,149193,149193,149193,148255,148255,147905,147905,146633,146633,146633,146633,146632,146632,0,0,1.0,1.0,0.9976392027250346,0.9976392027250346,0.9884514615476824,0.9884514615476824
47_2012-06-11_crr.txt,302072,302072,302072,302072,300703,300703,300632,300632,298378,298378,298378,298378,3923,3923,3903,3903,3469,3469,3469,3469,3469,3469,0,0,1.0,1.0,0.9949018608208005,0.9949018608208005,0.9954679679016925,0.9954679679016925
47_2012-06-12_crr.txt,248697,248697,248697,248697,236587,236587,236499,236499,186927,186927,186927,186927,185169,185169,183790,183790,181008,181008,129543,129543,129543,129543,6,6,0.7156755502519225,0.7156755502519225,0.9925527491102722,0.9925527491102722,0.951306207955866,0.951306207955866
47_2012-06-13_crr.txt,206431,206431,206431,206431,201870,201870,201820,201820,201820,201820,201820,201820,1927,1927,1927,1927,1927,1927,1927,1927,1928,1928,0,0,1.0,1.0,1.0,1.0,0.977905450247298,0.977905450247298
47_2012-06-13_crr_3645.txt,55569,55569,55569,55569,55569,55569,55552,55552,55552,55552,55552,55552,50404,50404,50394,50394,50342,50342,39582,39582,39582,39582,3,3,0.7862619681379365,0.7862619681379365,0.9998016030473772,0.9998016030473772,1.0,1.0
47_2012-07-03_crr.txt,2894737,2894737,2894722,2894722,2452028,2452028,2451376,2451376,2286910,2286910,2286910,2286910,2281257,2281257,2280684,2280684,2280689,2280689,1824038,1824038,1824038,1824038,10,10,0.799774980280082,0.799774980280082,0.999748822688544,0.999748822688544,0.8470641719783178,0.8470641719783178
47_2012-07-04_crr.txt,259254,259254,259254,259254,258633,258633,258571,258571,258571,258571,258571,258571,248568,248568,248199,248199,241013,241013,241013,241013,241014,241014,0,0,1.0,1.0,0.9985154967654726,0.9985154967654726,0.9976046656946468,0.9976046656946468
47_2012-07-10_crr.txt,301780,301780,301780,301780,299360,299360,299254,299254,126969,126969,126969,126969,125758,125758,125014,125014,123243,123243,87780,87780,87780,87780,6,6,0.7122514057593534,0.7122514057593534,0.9940838753796976,0.9940838753796976,0.9919809132480616,0.9919809132480616
47_2012-07-11_crr.txt,125520,125520,125520,125520,121449,121449,121405,121405,121405,121405,121405,121405,114546,114546,113839,113839,111907,111907,111064,111064,111064,111064,1,1,0.9924669591714548,0.9924669591714548,0.9938278071691722,0.9938278071691722,0.9675669216061186,0.9675669216061186
47_2012-07-13_crr.txt,29977,29977,29977,29977,29165,29165,29159,29159,29159,29159,28965,28965,22319,22319,22298,22298,22103,22103,7129,7129,7129,7129,5,5,0.3225354024340587,0.3225354024340587,0.999059097629822,0.999059097629822,0.9729125663008308,0.9729125663008308
47_2012-07-16_crr.txt,481892,481892,481892,481892,478292,478292,478137,478137,322108,322108,322108,322108,316353,316353,315779,315779,301831,301831,295657,295657,295657,295657,1,1,0.9795448446315984,0.9795448446315984,0.9981855711815598,0.9981855711815598,0.9925294464319806,0.9925294464319806
47_2012-07-31_crr.txt,266126,266126,266126,266126,264241,264241,264162,264162,264162,264162,260495,260495,137,137,137,137,137,137,137,137,138,138,0,0,1.0,1.0,1.0,1.0,0.992916888992432,0.992916888992432
47_2012-07-31_crr_3653.txt,70708,70708,70708,70708,69793,69793,69772,69772,39995,39995,39995,39995,39382,39382,39253,39253,38475,38475,38475,38475,38474,38474,0,0,1.0,1.0,0.9967243918541464,0.9967243918541464,0.9870594557900096,0.9870594557900096
